model,scenario,temp_condition,n_windows,params,mae_pct,rmse_pct,maxe_pct,pvr_discharge_eps0,pvr_charge_eps0,pvr_rest_eps0,pvr_total_eps0,pvr_discharge_eps0.0005,pvr_discharge_eps0.001,pvr_discharge_eps0.0025,pvr_discharge_eps0.005,pvr_discharge_eps0.01,delta_soc_mae,pred_true_delta_ratio_discharge
null_ocv_coulomb[ocvT_qnom],scenario_B,ALL,8010,0,8.5429,17.376,100.0,0.0,0.0,2.5819,1.0951,0.0,0.0,0.0,0.0,0.0,3.216e-05,0.9024
null_ocv_coulomb[ocvT_qnom],scenario_B,0degC,1395,0,8.0599,17.6804,100.0,0.0,0.0,2.958,1.2281,0.0,0.0,0.0,0.0,0.0,4.018e-05,0.9121
null_ocv_coulomb[ocvT_qnom],scenario_B,10degC,1520,0,4.5805,9.0105,98.4547,0.0,0.0,3.2528,1.137,0.0,0.0,0.0,0.0,0.0,2.668e-05,0.8909
null_ocv_coulomb[ocvT_qnom],scenario_B,25degC,1712,0,3.6518,5.3044,93.0145,0.0,0.0,2.8998,1.0608,0.0,0.0,0.0,0.0,0.0,3.411e-05,0.9426
null_ocv_coulomb[ocvT_qnom],scenario_B,40degC,1079,0,2.6974,4.3706,40.3875,0.0,0.0,2.9809,1.129,0.0,0.0,0.0,0.0,0.0,3.558e-05,0.9733
null_ocv_coulomb[ocvT_qnom],scenario_B,n10degC,1342,0,14.8858,26.71,93.566,0.0,0.0,2.4303,1.1569,0.0,0.0,0.0,0.0,0.0,3.216e-05,0.8398
null_ocv_coulomb[ocvT_qnom],scenario_B,n20degC,962,0,21.9165,29.422,82.4873,0.0,0.0,1.2125,0.7728,0.0,0.0,0.0,0.0,0.0,2.188e-05,0.7883
null_ocv_coulomb[ocvT_qtemp],scenario_B,ALL,8010,0,8.5735,17.365,100.0,0.0,0.0,2.5819,1.0951,0.0,0.0,0.0,0.0,0.0,2.835e-05,1.0333
null_ocv_coulomb[ocvT_qtemp],scenario_B,0degC,1395,0,8.0978,17.6713,100.0,0.0,0.0,2.958,1.2281,0.0,0.0,0.0,0.0,0.0,3.700e-05,1.062
null_ocv_coulomb[ocvT_qtemp],scenario_B,10degC,1520,0,4.6268,9.0351,98.502,0.0,0.0,3.2528,1.137,0.0,0.0,0.0,0.0,0.0,1.857e-05,1.0239
null_ocv_coulomb[ocvT_qtemp],scenario_B,25degC,1712,0,3.6854,5.3324,92.9858,0.0,0.0,2.8998,1.0608,0.0,0.0,0.0,0.0,0.0,3.420e-05,1.0179
